model,batch_size,id,latency_ns
llama3_70b,128,1,82336
llama3_70b,128,15,91776
llama3_70b,128,20,89216
llama3_70b,128,14,88512
llama3_70b,128,22,83168
llama3_70b,128,16,82592
llama3_70b,128,17,84960
llama3_70b,128,100,87136
llama3_70b,128,10,83456
llama3_70b,128,13,91872
llama3_70b,128,18,87872
llama3_70b,128,12,83744
llama3_70b,128,2,81696
llama3_70b,128,11,85312
llama3_70b,128,21,87712
llama3_70b,128,19,82112
llama3_70b,128,25,83872
llama3_70b,128,23,75616
llama3_70b,128,28,86240
llama3_70b,128,26,82688
llama3_70b,128,3,87968
llama3_70b,128,30,90624
llama3_70b,128,29,86912
llama3_70b,128,24,89376
llama3_70b,128,34,86848
llama3_70b,128,35,84800
llama3_70b,128,36,80960
llama3_70b,128,33,87872
llama3_70b,128,32,86464
llama3_70b,128,27,82304
llama3_70b,128,31,86464
llama3_70b,128,37,83648
llama3_70b,128,38,85312
llama3_70b,128,39,86912
llama3_70b,128,44,88288
llama3_70b,128,41,85600
llama3_70b,128,43,83072
llama3_70b,128,45,83360
llama3_70b,128,4,85632
llama3_70b,128,48,84640
llama3_70b,128,5,90720
llama3_70b,128,51,79136
llama3_70b,128,42,82432
llama3_70b,128,46,85504
llama3_70b,128,49,81824
llama3_70b,128,40,91968
llama3_70b,128,50,88416
llama3_70b,128,47,90016
llama3_70b,128,52,82176
llama3_70b,128,56,82848
llama3_70b,128,53,81376
llama3_70b,128,57,83296
llama3_70b,128,54,88480
llama3_70b,128,61,82528
llama3_70b,128,63,92768
llama3_70b,128,59,87936
llama3_70b,128,58,84896
llama3_70b,128,55,86720
llama3_70b,128,65,86272
llama3_70b,128,6,83136
llama3_70b,128,64,86784
llama3_70b,128,62,84256
llama3_70b,128,66,83328
llama3_70b,128,60,92352
llama3_70b,128,69,89568
llama3_70b,128,74,85664
llama3_70b,128,67,86240
llama3_70b,128,7,79104
llama3_70b,128,71,93184
llama3_70b,128,77,82976
llama3_70b,128,75,91392
llama3_70b,128,78,90496
llama3_70b,128,68,87616
llama3_70b,128,76,85504
llama3_70b,128,70,85696
llama3_70b,128,72,87712
llama3_70b,128,79,80864
llama3_70b,128,80,86784
llama3_70b,128,8,84832
llama3_70b,128,73,86080
llama3_70b,128,83,84928
llama3_70b,128,84,90368
llama3_70b,128,82,82400
llama3_70b,128,85,82368
llama3_70b,128,86,86912
llama3_70b,128,88,91008
llama3_70b,128,9,83264
llama3_70b,128,81,86016
